id,aleman,articulo ,palabra,traducción,tema,ejemplo (aleman),ejemplo (ingles),plural,femenino
29,Der Notausgang,der (maskulin),Notausgang,Emergency Exit,"Safety, Emergencies & Social Interaction",Bitte benutzen Sie den Notausgang.,Please use the emergency exit.,Notausgänge,—
30,Der Pannendienst,der (maskulin),Pannendienst,Breakdown Service,"Safety, Emergencies & Social Interaction",Ich musste den Pannendienst rufen.,I had to call the breakdown service.,Pannendienste,—
31,Der Rauchmelder,der (maskulin),Rauchmelder,Smoke Detector,"Safety, Emergencies & Social Interaction",Der Rauchmelder rettete ihnen das Leben.,The smoke detector saved their lives.,Rauchmelder,—
32,Der Rettungsdienst,der (maskulin),Rettungsdienst,Emergency Services,"Safety, Emergencies & Social Interaction",Der Rettungsdienst war sehr schnell.,The ambulance service was very fast.,Rettungsdienste,—
33,Der Sachschaden,der (maskulin),Sachschaden,Property Damage,"Safety, Emergencies & Social Interaction",Der Sachschaden ist enorm.,The property damage is enormous.,Sachschäden,—
34,Der Sanitäter,der (maskulin),Sanitäter,Paramedic,"Safety, Emergencies & Social Interaction",Der Sanitäter versorgte die Wunde.,The paramedic treated the wound.,Sanitäter,Sanitäterin
35,Der Schlauch,der (maskulin),Schlauch,Hose,"Safety, Emergencies & Social Interaction",Der Schlauch hat ein Loch.,The hose has a hole.,Schläuche,—
36,Der Schock,der (maskulin),Schock,Shock,"Safety, Emergencies & Social Interaction",Sie stand nach dem Unfall unter Schock.,She was in shock after the accident.,Schocks,—
37,Der Stromschlag,der (maskulin),Stromschlag,Electric Shock,"Safety, Emergencies & Social Interaction",Er erlitt einen schweren Stromschlag.,He suffered a severe electric shock.,Stromschläge,—
38,Der Sturz,der (maskulin),Sturz,Fall,"Safety, Emergencies & Social Interaction",Der Sturz vom Fahrrad war schmerzhaft.,The fall from the bike was painful.,Stürze,—
39,Der Verbandskasten,der (maskulin),Verbandskasten,First Aid Kit,"Safety, Emergencies & Social Interaction",Haben Sie einen Verbandskasten im Auto?,Do you have a first aid kit in the car?,—,—
40,Der Verkehrsunfall,der (maskulin),Verkehrsunfall,Traffic Accident,"Safety, Emergencies & Social Interaction",Es gab einen schweren Verkehrsunfall.,There was a severe traffic accident.,Verkehrsunfälle,—
41,Der Zusammenstoß,der (maskulin),Zusammenstoß,The Collision / Crash,"Safety, Emergencies & Social Interaction",Der Zusammenstoß war unvermeidbar.,The collision was unavoidable.,Zusammenstöße,—
42,Führerschein,der (maskulin),Führerschein,Driver'S License,"Safety, Emergencies & Social Interaction",Haben Sie Ihren Führerschein dabei?,Do you have your driver's license with you?,Führerscheine,—
43,Führerscheinentzug,der (maskulin),Führerscheinentzug,Driving Licence Revocation,"Safety, Emergencies & Social Interaction",Ihm droht der Führerscheinentzug.,He is facing the withdrawal of his driver's license.,Führerscheinentzüge,—
44,Der Verletzte,der/die (maskulin/feminin),Verletzte,The Injured Person,"Safety, Emergencies & Social Interaction",Der Verletzte wurde ins Krankenhaus gebracht.,The injured person was taken to the hospital.,Verletzte,Verletzte
45,Der/Die Tote,der/die (maskulin/feminin),Tote,Dead Person,"Safety, Emergencies & Social Interaction",Der Tote wurde noch nicht identifiziert.,The dead person has not yet been identified.,Tote,Tote
46,Die Erste-Hilfe-Ausrüstung,die (feminin),Erste-Hilfe-Ausrüstung,First Aid Kit,"Safety, Emergencies & Social Interaction",Die Erste-Hilfe-Ausrüstung muss vollständig sein.,The first aid equipment must be complete.,—,Erste-Hilfe-Ausrüstung
47,Die Explosion,die (feminin),Explosion,Explosion,"Safety, Emergencies & Social Interaction",Die Explosion zerstörte das Gebäude.,The explosion destroyed the building.,Explosionen,Explosion
48,Die Fahrerflucht,die (feminin),Fahrerflucht,Hit And Run,"Safety, Emergencies & Social Interaction",Er beging Fahrerflucht nach dem Unfall.,He committed a hit-and-run after the accident.,—,Fahrerflucht
49,Die Feuertreppe,die (feminin),Feuertreppe,Fire Escape,"Safety, Emergencies & Social Interaction",Wir flüchteten über die Feuertreppe.,We escaped via the fire escape.,Feuertreppen,Feuertreppe
50,Die Gehirnerschütterung,die (feminin),Gehirnerschütterung,Concussion,"Safety, Emergencies & Social Interaction",Er hat eine leichte Gehirnerschütterung.,He has a mild concussion.,Gehirnerschütterungen,Gehirnerschütterung
51,Die Mannschaft,die (feminin),Mannschaft,Team,"Safety, Emergencies & Social Interaction",Die Mannschaft feierte den Sieg.,The team celebrated the victory.,Mannschaften,Mannschaft
52,Die Mund-Zu-Mund-Beatmung,die (feminin),Mund-Zu-Mund-Beatmung,Mouth-To-Mouth Resuscitation,"Safety, Emergencies & Social Interaction",Er begann sofort mit der Mund-zu-Mund-Beatmung.,He immediately started mouth-to-mouth resuscitation.,—,Mund-Zu-Mund-Beatmung
53,Die Reifenpanne,die (feminin),Reifenpanne,Flat Tire,"Safety, Emergencies & Social Interaction",Wir hatten eine Reifenpanne.,We had a flat tire.,Reifenpannen,Reifenpanne
54,Die Schwimmweste,die (feminin),Schwimmweste,Life Jacket,"Safety, Emergencies & Social Interaction",Jeder muss eine Schwimmweste tragen.,Everyone must wear a life jacket.,Schwimmwesten,—
55,Die Trage,die (feminin),Trage,Wear,"Safety, Emergencies & Social Interaction",Sie trugen ihn auf einer Trage hinaus.,They carried him out on a stretcher.,Tragen,—
56,Die Verbrennung,die (feminin),Verbrennung,Burn,"Safety, Emergencies & Social Interaction",Die Verbrennung muss behandelt werden.,The burn needs to be treated.,Verbrennungen,—
57,Die Wunde,die (feminin),Wunde,The Wound,"Safety, Emergencies & Social Interaction",Die Wunde blutet stark.,The wound is bleeding heavily.,Wunden,—
58,Den Rettungsdienst Anrufen,Phrase,Rettungsdienst Anrufen,To Call The Emergency Services (112),"Safety, Emergencies & Social Interaction",Bitte den Rettungsdienst anrufen!,Please call the ambulance!,—,—
59,Erste Hilfe Leisten,Phrase,Erste Hilfe Leisten,To Administer First Aid,"Safety, Emergencies & Social Interaction",Jeder muss Erste Hilfe leisten.,Everyone must provide first aid.,—,—
60,Sicher Und Wohlbehalten,Phrase,Sicher Und Wohlbehalten,Safe And Sound,"Safety, Emergencies & Social Interaction",Sie kamen sicher und wohlbehalten an.,They arrived safe and sound.,—,—
61,Die Notdienste,Plural,Notdienste,Emergency Services,"Safety, Emergencies & Social Interaction",Die Notdienste waren schnell vor Ort.,The emergency services were quickly on site.,—,—
62,Unfälle,Plural,Unfälle,Accidents,"Safety, Emergencies & Social Interaction",Es passieren hier viele Unfälle.,Many accidents happen here.,—,—
63,Abschleppen,Verb,Abschleppen,Towing,"Safety, Emergencies & Social Interaction",Wir mussten das Auto abschleppen lassen.,We had to have the car towed.,—,—
64,Auffahren,Verb,Auffahren,To Rear-End Someone,"Safety, Emergencies & Social Interaction",Er ist auf das andere Auto aufgefahren.,He rear-ended the other car.,—,—
65,Aussetzen,Verb,Aussetzen,Suspend,"Safety, Emergencies & Social Interaction",Der Motor begann plötzlich auszusetzen.,The engine suddenly started to cut out.,—,—
66,Ausweichen,Verb,Ausweichen,To Swerve / Avoid,"Safety, Emergencies & Social Interaction",Ich musste dem Tier ausweichen.,I had to swerve to avoid the animal.,—,—
67,Beschädigen,Verb,Beschädigen,Damage,"Safety, Emergencies & Social Interaction",Das Auto wurde schwer beschädigt.,The car was severely damaged.,—,—
68,Beschleunigen,Verb,Beschleunigen,Accelerate,"Safety, Emergencies & Social Interaction",Das Auto begann zu beschleunigen.,The car began to accelerate.,—,—
69,Das Ertrinken,Verb,Ertrinken,Drowning,"Safety, Emergencies & Social Interaction",Er rettete das Kind vor dem Ertrinken.,He saved the child from drowning.,—,—
70,Das Überholen,Verb,Überholen,Overtaking,"Safety, Emergencies & Social Interaction",Das Überholen ist hier verboten.,Overtaking is forbidden here.,—,—
71,Das Versagen,Verb,Versagen,Fail,"Safety, Emergencies & Social Interaction",Das Versagen der Bremsen war die Ursache.,The failure of the brakes was the cause.,—,—
72,Demolieren,Verb,Demolieren,Demolish,"Safety, Emergencies & Social Interaction",Die Vandalen haben die Bushaltestelle demoliert.,The vandals demolished the bus stop.,—,—
73,Er'Sticken,Verb,Er'sticken,Suffocate,"Safety, Emergencies & Social Interaction",Er drohte zu ersticken.,He threatened to suffocate.,—,—
74,Explodieren,Verb,Explodieren,Explode,"Safety, Emergencies & Social Interaction",Die Bombe könnte explodieren.,The bomb could explode.,—,—
75,Fallen,Verb,Fallen,Fall,"Safety, Emergencies & Social Interaction",Er ist von der Leiter gefallen.,He fell off the ladder.,—,—
76,Geraten,Verb,Geraten,Advised,"Safety, Emergencies & Social Interaction",Wir gerieten in einen furchtbaren Sturm.,We got into a terrible storm.,—,—
77,Kaputtimachen,Verb,Kaputtimachen,Destroy,"Safety, Emergencies & Social Interaction",Du darfst das Spielzeug nicht kaputtmachen.,You must not break the toy.,—,—
78,Knallen,Verb,Knallen,To Bang / Crash Into,"Safety, Emergencies & Social Interaction",Ich hörte es laut knallen.,I heard a loud bang.,—,—
79,Passieren,Verb,Passieren,To Happen,"Safety, Emergencies & Social Interaction",Was ist hier passiert?,What happened here?,—,—
80,Retten,Verb,Retten,Save,"Safety, Emergencies & Social Interaction",Die Feuerwehr konnte alle retten.,The fire department was able to save everyone.,—,—
81,Schleudern,Verb,Schleudern,To Skid,"Safety, Emergencies & Social Interaction",Das Auto begann zu schleudern.,The car started to skid.,—,—
82,Schlittern,Verb,Schlittern,Skidding,"Safety, Emergencies & Social Interaction",Das Auto schlingerte und begann zu schlittern.,The car swerved and started to skid.,—,—
83,Sinken,Verb,Sinken,Sink,"Safety, Emergencies & Social Interaction",Das Schiff begann zu sinken.,The ship began to sink.,—,—
84,Sterben,Verb,Sterben,Die,"Safety, Emergencies & Social Interaction",Wir werden alle eines Tages sterben.,We will all die someday.,—,—
85,Überfahren,Verb,Überfahren,Run Over,"Safety, Emergencies & Social Interaction",Der Hund wurde leider überfahren.,The dog was unfortunately run over.,—,—
86,Übersehen,Verb,Übersehen,To Overlook,"Safety, Emergencies & Social Interaction",Ich habe das rote Licht übersehen.,I missed the red light.,—,—
87,Umibringen,Verb,Umibringen,Kill,"Safety, Emergencies & Social Interaction",Er wollte ihn umbringen.,He wanted to kill him.,—,—
88,Vergessen,Verb,Vergessen,Forget,"Safety, Emergencies & Social Interaction",Ich habe meinen Schlüssel vergessen.,I forgot my key.,—,—
89,Verschütten,Verb,Verschütten,Spill,"Safety, Emergencies & Social Interaction",Ich habe den Kaffee verschüttet.,I spilled the coffee.,—,—
90,Verursachen,Verb,Verursachen,Cause,"Safety, Emergencies & Social Interaction",Wer hat den Unfall verursacht?,Who caused the accident?,—,—
91,Bremsen,Verb/Nomen,Bremsen,To Brake,"Safety, Emergencies & Social Interaction",Er musste plötzlich bremsen.,He had to brake suddenly.,Bremsen,—
92,Alt,adjektiv,Alt,Old,Grammar: Adjectives,Das Haus ist sehr alt.,The house is very old.,—,—
93,Billig,adjektiv,Billig,Cheap,Grammar: Adjectives,Das Buch war billig.,The book was cheap.,—,—
94,Dunkel,adjektiv,Dunkel,Dark,Grammar: Adjectives,Der Raum ist dunkel.,The room is dark.,—,—
95,Falsch,adjektiv,Falsch,Wrong,Grammar: Adjectives,Das ist falsch.,That is wrong.,—,—
96,Freundlich,adjektiv,freundlich,Friendly,Grammar: Adjectives,Der Lehrer ist immer freundlich.,The teacher is always friendly.,—,—
97,Groß,adjektiv,Groß,Tall,Grammar: Adjectives,Der Baum im Garten ist sehr groß.,The tree in the garden is very tall.,—,—
98,Günstig,adjektiv,Günstig,Cheap/Favorable,Grammar: Adjectives,Dieses Angebot ist wirklich günstig.,This offer is really cheap/favorable.,—,—
99,Heiß,adjektiv,Heiß,Hot,Grammar: Adjectives,Der Kaffee ist noch heiß.,The coffee is still hot.,—,—
100,Hell,adjektiv,Hell,Bright,Grammar: Adjectives,Das Zimmer ist hell und sonnig.,The room is bright and sunny.,—,—
101,Jung,adjektiv,Jung,Young,Grammar: Adjectives,Sie ist eine sehr junge Lehrerin.,She is a very young teacher.,—,—
102,Kalt,adjektiv,Kalt,Cold,Grammar: Adjectives,Es ist heute ziemlich kalt draußen.,It’s quite cold outside today.,—,—
103,Klein,adjektiv,Klein,Small,Grammar: Adjectives,Der Hund ist klein.,The dog is small.,—,—
104,Klug,adjektiv,Klug,Clever,Grammar: Adjectives,Sie ist eine kluge Schülerin.,She is a clever student.,—,—
105,Lang,adjektiv,Lang,Long,Grammar: Adjectives,Der Fluss ist sehr lang.,The river is very long.,—,—
106,Leise,adjektiv,Leise,Quiet,Grammar: Adjectives,"Bitte sprich leise, die Kinder schlafen.","Please speak quietly, the children are sleeping.",—,—
107,Müde,adjektiv,Müde,Tired,Grammar: Adjectives,Ich bin sehr müde.,I am very tired.,—,—
108,Nett,adjektiv,Nett,Nice,Grammar: Adjectives,Er ist immer nett zu seinen Kollegen.,He is always nice to his colleagues.,—,—
109,Neu,adjektiv,Neu,New,Grammar: Adjectives,Das Auto ist ganz neu.,The car is brand new.,—,—
110,Niedrig,adjektiv,Niedrig,Low,Grammar: Adjectives,Der Preis ist niedrig.,The price is low.,—,—
111,Richtig,adjektiv,Richtig,Right,Grammar: Adjectives,Die Antwort ist richtig.,The answer is correct.,—,—
112,Schlecht,adjektiv,Schlecht,Bad,Grammar: Adjectives,Das Wetter ist heute wirklich schlecht.,The weather is really bad today.,—,—
113,Schön,adjektiv,Schön,Beautiful,Grammar: Adjectives,Der Sonnenuntergang ist wunderschön.,The sunset is beautiful.,—,—
114,Schwer,adjektiv,Schwer,Heavy / Difficult,Grammar: Adjectives,Diese Tasche ist sehr schwer.,This bag is very heavy.,—,—
115,Teuer,adjektiv,Teuer,Expensive,Grammar: Adjectives,Die Schuhe sind sehr teuer.,The shoes are very expensive.,—,—
116,Warm,adjektiv,Warm,Warm,Grammar: Adjectives,Das Wasser im Pool ist angenehm warm.,The water in the pool is pleasantly warm.,—,—
117,Wichtig,adjektiv,Wichtig,Important,Grammar: Adjectives,Das ist sehr wichtig.,That is very important.,—,—
118,Früh,adjektiv/Adverb,Früh,Early,Grammar: Adjectives,Ich stehe jeden Tag früh auf.,I get up early every day.,—,—
119,Hoch,adjektiv/Adverb,Hoch,High,Grammar: Adjectives,Der Turm ist hoch.,The tower is high.,—,—
120,Kurz,adjektiv/Adverb,Kurz,Short,Grammar: Adjectives,Der Film war ziemlich kurz.,The movie was quite short.,—,—
121,Langsam,adjektiv/Adverb,Langsam,Slow,Grammar: Adjectives,Der Zug fährt heute langsam.,The train is moving slowly today.,—,—
122,Laut,adjektiv/Adverb,Laut,Loud,Grammar: Adjectives,Die Musik ist viel zu laut.,The music is way too loud.,—,—
123,Leicht,adjektiv/Adverb,Leicht,Light / Easy,Grammar: Adjectives,Diese Aufgabe ist leicht.,This task is easy.,—,—
124,Schnell,adjektiv/Adverb,Schnell,Fast,Grammar: Adjectives,Der Läufer ist sehr schnell.,The runner is very fast.,—,—
125,Spät,adjektiv/Adverb,Spät,Late,Grammar: Adjectives,"Es ist schon spät, wir sollten gehen.","It’s already late, we should go.",—,—
126,Gut,adjektiv/Substantiv,Gut,Good,Grammar: Adjectives,Das Essen schmeckt gut.,The food tastes good.,Güter,—
127,Das Armband,das (neutrum),Armband,The Bracelet,Shopping & Fashion,Sie trägt ein goldenes Armband.,She wears a gold bracelet.,Armbänder,—
128,Das Badesalz,das (neutrum),Badesalz,The Bath Salts,Shopping & Fashion,Ich nehme gerne ein Bad mit Badesalz.,I like taking a bath with bath salts.,—,—
129,Das Deodorant,das (neutrum),Deodorant,The Deodorant,Shopping & Fashion,Er benutzt ein neues Deodorant.,He uses a new deodorant.,Deodorants,—
130,Das Diadem,das (neutrum),Diadem,The Diadem,Shopping & Fashion,Die Prinzessin trug ein Diadem.,The princess wore a tiara.,Diademe,—
131,Das Elfenbein,das (neutrum),Elfenbein,The Ivory,Shopping & Fashion,Der Handel mit Elfenbein ist verboten.,The trade in ivory is forbidden.,—,—
132,Das Kettchen,das (neutrum),Kettchen,The Chain,Shopping & Fashion,Sie bekam ein silbernes Kettchen geschenkt.,She was given a silver chain.,Kettchen,—
133,Das Kollier,das (neutrum),Kollier,The Necklace,Shopping & Fashion,Das Kollier ist sehr wertvoll.,The necklace is very valuable.,Rlis,—
134,Das Kreuz,das (neutrum),Kreuz,The Cross,Shopping & Fashion,Er trägt ein Kreuz um den Hals.,He wears a cross around his neck.,Kreuze,—
135,Das Kupfer,das (neutrum),Kupfer,The Copper,Shopping & Fashion,Das Dach ist mit Kupfer gedeckt.,The roof is covered with copper.,—,—
136,Das Make-Up,das (neutrum),Make-Up,The Make-Up,Shopping & Fashion,Sie trägt heute viel Make-up.,She is wearing a lot of makeup today.,Make-ups,—
137,Das Papiertuch,das (neutrum),Papiertuch,The Paper Towel,Shopping & Fashion,Hast du ein Papiertuch für mich?,Do you have a paper towel for me?,Papiertücher,—
138,Das Silber,das (neutrum),Silber,The Silver,Shopping & Fashion,Das Besteck ist aus echtem Silber.,The cutlery is made of real silver.,—,—
139,Der Gesichtspuder,das (neutrum),Gesichtspuder,The Face Powder,Shopping & Fashion,Sie benutzt jeden Morgen Gesichtspuder.,She uses face powder every morning.,—,—
140,Körperpuder,das (neutrum),Körperpuder,The Body Powder,Shopping & Fashion,Nach dem Duschen verwendet sie Körperpuder.,"After showering, she uses body powder.",—,—
141,Parfüm,das (neutrum),Parfüm,Perfume,Shopping & Fashion,Dieses Parfüm riecht sehr gut.,This perfume smells very good.,Parfüms,—
142,Das Kristall,der (maskulin),Kristall,The Crystal,Shopping & Fashion,Die Gläser sind aus feinem Kristall.,The glasses are made of fine crystal.,Kristalle,—
143,Der Anhänger,der (maskulin),Anhänger,The Follower,Shopping & Fashion,Der Anhänger passt gut zur Kette.,The pendant goes well with the necklace.,Anhänger,Anhängerin
144,Der Edelstein,der (maskulin),Edelstein,The Gemstone,Shopping & Fashion,Der Ring ist mit einem Edelstein besetzt.,The ring is set with a gemstone.,Edelsteine,—
145,Der Klipp,der (maskulin),Klipp,The Cliff,Shopping & Fashion,Sie befestigte das Papier mit einem Klipp.,She fastened the paper with a clip.,Klippen,—
146,Der Lidschatten,der (maskulin),Lidschatten,The Eyeshadow,Shopping & Fashion,Der blaue Lidschatten steht ihr gut.,The blue eyeshadow suits her well.,Lidschatten,—
147,Der Lippenstift,der (maskulin),Lippenstift,The Lipstick,Shopping & Fashion,Sie hat einen roten Lippenstift gekauft.,She bought a red lipstick.,Lippenstifte,—
148,Der Lockenwickler,der (maskulin),Lockenwickler,The Hair Curler,Shopping & Fashion,Sie drehte ihre Haare auf Lockenwickler.,She rolled her hair on curlers.,Lockenwickler,—
149,Der Nagel,der (maskulin),Nagel,The Nail,Shopping & Fashion,Er schlug einen Nagel in die Wand.,He hammered a nail into the wall.,Nägel,—
150,Der Nagellack,der (maskulin),Nagellack,The Nail Polish,Shopping & Fashion,Der Nagellack ist schon abgesplittert.,The nail polish has already chipped.,Nagellacke,—
151,Der Ohrklipp,der (maskulin),Ohrklipp,The Ear Clip,Shopping & Fashion,Sie trägt einen eleganten Ohrklipp.,She wears an elegant ear clip.,Ohrklipps,—
152,Der Ohrring,der (maskulin),Ohrring,The Earring,Shopping & Fashion,Sie hat einen Ohrring verloren.,She lost an earring.,Ohrringe,—
153,Der Smaragd,der (maskulin),Smaragd,The Emerald,Shopping & Fashion,Der Smaragd leuchtet tiefgrün.,The emerald shines deep green.,Smaragde,—
154,Der Stahl,der (maskulin),Stahl,The Steel,Shopping & Fashion,Die Brücke ist aus Stahl gebaut.,The bridge is built of steel.,—,—
155,Schmuck,der (maskulin),Schmuck,Jewelry,Shopping & Fashion,Sie trägt gerne teuren Schmuck.,She likes to wear expensive jewelry.,—,—
156,Die Anstecknadel,die (feminin),Anstecknadel,The Pin,Shopping & Fashion,Er trägt eine goldene Anstecknadel.,He wears a gold pin.,Anstecknadeln,Anstecknadel
157,Die Armbanduhr,die (feminin),Armbanduhr,The Wristwatch,Shopping & Fashion,Meine Armbanduhr ist stehen geblieben.,My wristwatch has stopped.,Armbanduhren,Armbanduhr
158,Die Brosche,die (feminin),Brosche,The Brooch,Shopping & Fashion,Die Brosche gehörte ihrer Großmutter.,The brooch belonged to her grandmother.,Broschen,Brosche
159,Die Emaille,die (feminin),Emaille,The Enamel,Shopping & Fashion,Die Schüssel ist mit Emaille überzogen.,The bowl is coated with enamel.,—,Emaille
160,Die Feuchtigkeitscreme,die (feminin),Feuchtigkeitscreme,The Moisturizing Cream,Shopping & Fashion,Sie benutzt eine teure Feuchtigkeitscreme.,She uses an expensive moisturizer.,Feuchtigkeitscremes,Feuchtigkeitscreme
161,Die Gesichtscreme,die (feminin),Gesichtscreme,The Face Cream,Shopping & Fashion,Diese Gesichtscreme ist sehr gut für trockene Haut.,This face cream is very good for dry skin.,Gesichtscremes,Gesichtscreme
162,Die Kosmetik,die (feminin),Kosmetik,Cosmetics,Shopping & Fashion,Sie gibt viel Geld für Kosmetik aus.,She spends a lot of money on cosmetics.,—,Kosmetik
163,Die Krone,die (feminin),Krone,The Crown,Shopping & Fashion,Der König trägt eine goldene Krone.,The king wears a golden crown.,Kronen,Krone
164,Die Lippenpomade,die (feminin),Lippenpomade,The Lip Pomade,Shopping & Fashion,Im Winter brauche ich Lippenpomade.,In winter I need lip balm.,Lippenpomaden,Lippenpomade
165,Die Nagelschere,die (feminin),Nagelschere,The Nail Scissors,Shopping & Fashion,Wo ist die Nagelschere?,Where are the nail scissors?,Nagelscheren,Nagelschere
166,Die Nagelzange,die (feminin),Nagelzange,The Nail Clippers,Shopping & Fashion,Er schneidet seine Nägel mit der Nagelzange.,He cuts his nails with the nail clippers.,Nagelzangen,Nagelzange
167,Die Perle,die (feminin),Perle,The Pearl,Shopping & Fashion,Die Perle schimmert wunderschön.,The pearl shimmers beautifully.,Perlen,Perle
168,Die Schönheit,die (feminin),Schönheit,The Beauty,Shopping & Fashion,Ihre Schönheit ist atemberaubend.,Her beauty is breathtaking.,Schönheiten,—
169,Die Uhr,die (feminin),Uhr,The Clock,Shopping & Fashion,Die Uhr tickt laut.,The clock ticks loudly.,Uhren,—
170,Verschönerung,die (feminin),Verschönerung,Embellishment,Shopping & Fashion,Die Stadt plant die Verschönerung des Parks.,The city plans the beautification of the park.,—,—
171,Das Eichhörnchen,das (neutrum),Eichhörnchen,The Squirrel,Animals,Das Eichhörnchen sammelt Nüsse.,The squirrel collects nuts.,Eichhörnchen,—
172,Das Faultier,das (neutrum),Faultier,Sloth,Animals,Faultiere fressen Blätter,Sloths eat leaves,Faultiere,—
173,Das Flusspferd,das (neutrum),Flusspferd,Hippo,Animals,Das Flusspferd schwimmt.,The hippo is swimming.,Flusspferde,—
