id,aleman,articulo ,palabra,traducción,tema,ejemplo (aleman),ejemplo (ingles),plural,femenino
16,Alkohol,der (maskulin),Alkohol,Alcohol,Accidents,Alkohol am Steuer ist gefährlich.,Drinking and driving is dangerous.,— (Unzählbar),—
17,Bereitschaftsarzt,der (maskulin),Bereitschaftsarzt,On-Call Doctor,Accidents,Der Bereitschaftsarzt kommt gleich.,The doctor on call is coming right away.,Bereitschaftsärzte,Bereitschaftsärztin
18,Bereitschaftsdienst,der (maskulin),Bereitschaftsdienst,On-Call Duty,Accidents,Die Apotheke hat heute Bereitschaftsdienst.,The pharmacy is on call today.,Bereitschaftsdienste,—
19,Das Rasen,der (maskulin),Rasen,Race,Accidents,Das Rasen auf der Autobahn ist gefährlich.,Speeding on the highway is dangerous.,—,—
20,Der Absturz,der (maskulin),Absturz,Crash,Accidents,Der Absturz des Systems verursachte Probleme.,The system crash caused problems.,Abstürze,—
21,Der Aufprall,der (maskulin),Aufprall,Impact,Accidents,Der Aufprall war sehr heftig.,The impact was very severe.,Aufprälle,—
22,Der Blechschaden,der (maskulin),Blechschaden,Minor Damage (Specifically To The Car Body),Accidents,Es gab nur einen kleinen Blechschaden.,There was only minor sheet metal damage.,Blechschäden,—
23,Der Bruch,der (maskulin),Bruch,The Fracture,Accidents,Der Bruch muss operiert werden.,The fracture needs to be operated on.,Brüche,—
24,Der Fallschirm,der (maskulin),Fallschirm,Parachute,Accidents,Der Fallschirm öffnete sich nicht sofort.,The parachute didn't open immediately.,Fallschirme,—
25,Der Feuerlöscher,der (maskulin),Feuerlöscher,Fire Extinguisher,Accidents,Wo ist der nächste Feuerlöscher?,Where is the nearest fire extinguisher?,Feuerlöscher,—
26,Der Flugzeugabsturz,der (maskulin),Flugzeugabsturz,Aircraft Crash,Accidents,Niemand überlebte den Flugzeugabsturz.,No one survived the plane crash.,Flugzeugabstürze,—
27,Der Knochenbruch,der (maskulin),Knochenbruch,The Broken Bone,Accidents,Er erlitt einen Knochenbruch am Bein.,He suffered a bone fracture in his leg.,Knochenbrüche,—
28,Der Motorschaden,der (maskulin),Motorschaden,Engine Failure,Accidents,Wir hatten einen Motorschaden auf der Autobahn.,We had engine failure on the highway.,Motorschäden,—
29,Der Notausgang,der (maskulin),Notausgang,Emergency Exit,Accidents,Bitte benutzen Sie den Notausgang.,Please use the emergency exit.,Notausgänge,—
30,Der Pannendienst,der (maskulin),Pannendienst,Breakdown Service,Accidents,Ich musste den Pannendienst rufen.,I had to call the breakdown service.,Pannendienste,—
31,Der Rauchmelder,der (maskulin),Rauchmelder,Smoke Detector,Accidents,Der Rauchmelder rettete ihnen das Leben.,The smoke detector saved their lives.,Rauchmelder,—
32,Der Rettungsdienst,der (maskulin),Rettungsdienst,Emergency Services,Accidents,Der Rettungsdienst war sehr schnell.,The ambulance service was very fast.,Rettungsdienste,—
33,Der Sachschaden,der (maskulin),Sachschaden,Property Damage,Accidents,Der Sachschaden ist enorm.,The property damage is enormous.,Sachschäden,—
34,Der Sanitäter,der (maskulin),Sanitäter,Paramedic,Accidents,Der Sanitäter versorgte die Wunde.,The paramedic treated the wound.,Sanitäter,Sanitäterin
35,Der Schlauch,der (maskulin),Schlauch,Hose,Accidents,Der Schlauch hat ein Loch.,The hose has a hole.,Schläuche,—
36,Der Schock,der (maskulin),Schock,Shock,Accidents,Sie stand nach dem Unfall unter Schock.,She was in shock after the accident.,Schocks,—
37,Der Stromschlag,der (maskulin),Stromschlag,Electric Shock,Accidents,Er erlitt einen schweren Stromschlag.,He suffered a severe electric shock.,Stromschläge,—
38,Der Sturz,der (maskulin),Sturz,Fall,Accidents,Der Sturz vom Fahrrad war schmerzhaft.,The fall from the bike was painful.,Stürze,—
39,Der Verbandskasten,der (maskulin),Verbandskasten,First Aid Kit,Accidents,Haben Sie einen Verbandskasten im Auto?,Do you have a first aid kit in the car?,—,—
40,Der Verkehrsunfall,der (maskulin),Verkehrsunfall,Traffic Accident,Accidents,Es gab einen schweren Verkehrsunfall.,There was a severe traffic accident.,Verkehrsunfälle,—
41,Der Zusammenstoß,der (maskulin),Zusammenstoß,The Collision / Crash,Accidents,Der Zusammenstoß war unvermeidbar.,The collision was unavoidable.,Zusammenstöße,—
42,Führerschein,der (maskulin),Führerschein,Driver'S License,Accidents,Haben Sie Ihren Führerschein dabei?,Do you have your driver's license with you?,Führerscheine,—
43,Führerscheinentzug,der (maskulin),Führerscheinentzug,Driving Licence Revocation,Accidents,Ihm droht der Führerscheinentzug.,He is facing the withdrawal of his driver's license.,Führerscheinentzüge,—
44,Der Verletzte,der/die (maskulin/feminin),Verletzte,The Injured Person,Accidents,Der Verletzte wurde ins Krankenhaus gebracht.,The injured person was taken to the hospital.,Verletzte,Verletzte
45,Der/Die Tote,der/die (maskulin/feminin),Tote,Dead Person,Accidents,Der Tote wurde noch nicht identifiziert.,The dead person has not yet been identified.,Tote,Tote
46,Die Erste-Hilfe-Ausrüstung,die (feminin),Erste-Hilfe-Ausrüstung,First Aid Kit,Accidents,Die Erste-Hilfe-Ausrüstung muss vollständig sein.,The first aid equipment must be complete.,—,Erste-Hilfe-Ausrüstung
47,Die Explosion,die (feminin),Explosion,Explosion,Accidents,Die Explosion zerstörte das Gebäude.,The explosion destroyed the building.,Explosionen,Explosion
48,Die Fahrerflucht,die (feminin),Fahrerflucht,Hit And Run,Accidents,Er beging Fahrerflucht nach dem Unfall.,He committed a hit-and-run after the accident.,—,Fahrerflucht
49,Die Feuertreppe,die (feminin),Feuertreppe,Fire Escape,Accidents,Wir flüchteten über die Feuertreppe.,We escaped via the fire escape.,Feuertreppen,Feuertreppe
50,Die Gehirnerschütterung,die (feminin),Gehirnerschütterung,Concussion,Accidents,Er hat eine leichte Gehirnerschütterung.,He has a mild concussion.,Gehirnerschütterungen,Gehirnerschütterung
51,Die Mannschaft,die (feminin),Mannschaft,Team,Accidents,Die Mannschaft feierte den Sieg.,The team celebrated the victory.,Mannschaften,Mannschaft
52,Die Mund-Zu-Mund-Beatmung,die (feminin),Mund-Zu-Mund-Beatmung,Mouth-To-Mouth Resuscitation,Accidents,Er begann sofort mit der Mund-zu-Mund-Beatmung.,He immediately started mouth-to-mouth resuscitation.,—,Mund-Zu-Mund-Beatmung
53,Die Reifenpanne,die (feminin),Reifenpanne,Flat Tire,Accidents,Wir hatten eine Reifenpanne.,We had a flat tire.,Reifenpannen,Reifenpanne
54,Die Schwimmweste,die (feminin),Schwimmweste,Life Jacket,Accidents,Jeder muss eine Schwimmweste tragen.,Everyone must wear a life jacket.,Schwimmwesten,—
55,Die Trage,die (feminin),Trage,Wear,Accidents,Sie trugen ihn auf einer Trage hinaus.,They carried him out on a stretcher.,Tragen,—
56,Die Verbrennung,die (feminin),Verbrennung,Burn,Accidents,Die Verbrennung muss behandelt werden.,The burn needs to be treated.,Verbrennungen,—
57,Die Wunde,die (feminin),Wunde,The Wound,Accidents,Die Wunde blutet stark.,The wound is bleeding heavily.,Wunden,—
58,Den Rettungsdienst Anrufen,Phrase,Rettungsdienst Anrufen,To Call The Emergency Services (112),Accidents,Bitte den Rettungsdienst anrufen!,Please call the ambulance!,—,—
59,Erste Hilfe Leisten,Phrase,Erste Hilfe Leisten,To Administer First Aid,Accidents,Jeder muss Erste Hilfe leisten.,Everyone must provide first aid.,—,—
60,Sicher Und Wohlbehalten,Phrase,Sicher Und Wohlbehalten,Safe And Sound,Accidents,Sie kamen sicher und wohlbehalten an.,They arrived safe and sound.,—,—
61,Die Notdienste,Plural,Notdienste,Emergency Services,Accidents,Die Notdienste waren schnell vor Ort.,The emergency services were quickly on site.,—,—
62,Unfälle,Plural,Unfälle,Accidents,Accidents,Es passieren hier viele Unfälle.,Many accidents happen here.,—,—
63,Abschleppen,Verb,Abschleppen,Towing,Accidents,Wir mussten das Auto abschleppen lassen.,We had to have the car towed.,—,—
64,Auffahren,Verb,Auffahren,To Rear-End Someone,Accidents,Er ist auf das andere Auto aufgefahren.,He rear-ended the other car.,—,—
65,Aussetzen,Verb,Aussetzen,Suspend,Accidents,Der Motor begann plötzlich auszusetzen.,The engine suddenly started to cut out.,—,—
66,Ausweichen,Verb,Ausweichen,To Swerve / Avoid,Accidents,Ich musste dem Tier ausweichen.,I had to swerve to avoid the animal.,—,—
67,Beschädigen,Verb,Beschädigen,Damage,Accidents,Das Auto wurde schwer beschädigt.,The car was severely damaged.,—,—
68,Beschleunigen,Verb,Beschleunigen,Accelerate,Accidents,Das Auto begann zu beschleunigen.,The car began to accelerate.,—,—
69,Das Ertrinken,Verb,Ertrinken,Drowning,Accidents,Er rettete das Kind vor dem Ertrinken.,He saved the child from drowning.,—,—
70,Das Überholen,Verb,Überholen,Overtaking,Accidents,Das Überholen ist hier verboten.,Overtaking is forbidden here.,—,—
71,Das Versagen,Verb,Versagen,Fail,Accidents,Das Versagen der Bremsen war die Ursache.,The failure of the brakes was the cause.,—,—
72,Demolieren,Verb,Demolieren,Demolish,Accidents,Die Vandalen haben die Bushaltestelle demoliert.,The vandals demolished the bus stop.,—,—
73,Er'Sticken,Verb,Er'sticken,Suffocate,Accidents,Er drohte zu ersticken.,He threatened to suffocate.,—,—
74,Explodieren,Verb,Explodieren,Explode,Accidents,Die Bombe könnte explodieren.,The bomb could explode.,—,—
75,Fallen,Verb,Fallen,Fall,Accidents,Er ist von der Leiter gefallen.,He fell off the ladder.,—,—
76,Geraten,Verb,Geraten,Advised,Accidents,Wir gerieten in einen furchtbaren Sturm.,We got into a terrible storm.,—,—
77,Kaputtimachen,Verb,Kaputtimachen,Destroy,Accidents,Du darfst das Spielzeug nicht kaputtmachen.,You must not break the toy.,—,—
78,Knallen,Verb,Knallen,To Bang / Crash Into,Accidents,Ich hörte es laut knallen.,I heard a loud bang.,—,—
79,Passieren,Verb,Passieren,To Happen,Accidents,Was ist hier passiert?,What happened here?,—,—
80,Retten,Verb,Retten,Save,Accidents,Die Feuerwehr konnte alle retten.,The fire department was able to save everyone.,—,—
81,Schleudern,Verb,Schleudern,To Skid,Accidents,Das Auto begann zu schleudern.,The car started to skid.,—,—
82,Schlittern,Verb,Schlittern,Skidding,Accidents,Das Auto schlingerte und begann zu schlittern.,The car swerved and started to skid.,—,—
83,Sinken,Verb,Sinken,Sink,Accidents,Das Schiff begann zu sinken.,The ship began to sink.,—,—
84,Sterben,Verb,Sterben,Die,Accidents,Wir werden alle eines Tages sterben.,We will all die someday.,—,—
85,Überfahren,Verb,Überfahren,Run Over,Accidents,Der Hund wurde leider überfahren.,The dog was unfortunately run over.,—,—
86,Übersehen,Verb,Übersehen,To Overlook,Accidents,Ich habe das rote Licht übersehen.,I missed the red light.,—,—
87,Umibringen,Verb,Umibringen,Kill,Accidents,Er wollte ihn umbringen.,He wanted to kill him.,—,—
88,Vergessen,Verb,Vergessen,Forget,Accidents,Ich habe meinen Schlüssel vergessen.,I forgot my key.,—,—
89,Verschütten,Verb,Verschütten,Spill,Accidents,Ich habe den Kaffee verschüttet.,I spilled the coffee.,—,—
90,Verursachen,Verb,Verursachen,Cause,Accidents,Wer hat den Unfall verursacht?,Who caused the accident?,—,—
91,Bremsen,Verb/Nomen,Bremsen,To Brake,Accidents,Er musste plötzlich bremsen.,He had to brake suddenly.,Bremsen,—
92,Alt,adjektiv,Alt,Old,Adjectives,Das Haus ist sehr alt.,The house is very old.,—,—
93,Billig,adjektiv,Billig,Cheap,Adjectives,Das Buch war billig.,The book was cheap.,—,—
94,Dunkel,adjektiv,Dunkel,Dark,Adjectives,Der Raum ist dunkel.,The room is dark.,—,—
95,Falsch,adjektiv,Falsch,Wrong,Adjectives,Das ist falsch.,That is wrong.,—,—
96,Freundlich,adjektiv,freundlich,Friendly,Adjectives,Der Lehrer ist immer freundlich.,The teacher is always friendly.,—,—
97,Groß,adjektiv,Groß,Tall,Adjectives,Der Baum im Garten ist sehr groß.,The tree in the garden is very tall.,—,—
98,Günstig,adjektiv,Günstig,Cheap/Favorable,Adjectives,Dieses Angebot ist wirklich günstig.,This offer is really cheap/favorable.,—,—
99,Heiß,adjektiv,Heiß,Hot,Adjectives,Der Kaffee ist noch heiß.,The coffee is still hot.,—,—
100,Hell,adjektiv,Hell,Bright,Adjectives,Das Zimmer ist hell und sonnig.,The room is bright and sunny.,—,—
101,Jung,adjektiv,Jung,Young,Adjectives,Sie ist eine sehr junge Lehrerin.,She is a very young teacher.,—,—
102,Kalt,adjektiv,Kalt,Cold,Adjectives,Es ist heute ziemlich kalt draußen.,It’s quite cold outside today.,—,—
103,Klein,adjektiv,Klein,Small,Adjectives,Der Hund ist klein.,The dog is small.,—,—
104,Klug,adjektiv,Klug,Clever,Adjectives,Sie ist eine kluge Schülerin.,She is a clever student.,—,—
105,Lang,adjektiv,Lang,Long,Adjectives,Der Fluss ist sehr lang.,The river is very long.,—,—
106,Leise,adjektiv,Leise,Quiet,Adjectives,"Bitte sprich leise, die Kinder schlafen.","Please speak quietly, the children are sleeping.",—,—
107,Müde,adjektiv,Müde,Tired,Adjectives,Ich bin sehr müde.,I am very tired.,—,—
108,Nett,adjektiv,Nett,Nice,Adjectives,Er ist immer nett zu seinen Kollegen.,He is always nice to his colleagues.,—,—
109,Neu,adjektiv,Neu,New,Adjectives,Das Auto ist ganz neu.,The car is brand new.,—,—
110,Niedrig,adjektiv,Niedrig,Low,Adjectives,Der Preis ist niedrig.,The price is low.,—,—
111,Richtig,adjektiv,Richtig,Right,Adjectives,Die Antwort ist richtig.,The answer is correct.,—,—
112,Schlecht,adjektiv,Schlecht,Bad,Adjectives,Das Wetter ist heute wirklich schlecht.,The weather is really bad today.,—,—
113,Schön,adjektiv,Schön,Beautiful,Adjectives,Der Sonnenuntergang ist wunderschön.,The sunset is beautiful.,—,—
114,Schwer,adjektiv,Schwer,Heavy / Difficult,Adjectives,Diese Tasche ist sehr schwer.,This bag is very heavy.,—,—
115,Teuer,adjektiv,Teuer,Expensive,Adjectives,Die Schuhe sind sehr teuer.,The shoes are very expensive.,—,—
116,Warm,adjektiv,Warm,Warm,Adjectives,Das Wasser im Pool ist angenehm warm.,The water in the pool is pleasantly warm.,—,—
117,Wichtig,adjektiv,Wichtig,Important,Adjectives,Das ist sehr wichtig.,That is very important.,—,—
118,Früh,adjektiv/Adverb,Früh,Early,Adjectives,Ich stehe jeden Tag früh auf.,I get up early every day.,—,—
119,Hoch,adjektiv/Adverb,Hoch,High,Adjectives,Der Turm ist hoch.,The tower is high.,—,—
120,Kurz,adjektiv/Adverb,Kurz,Short,Adjectives,Der Film war ziemlich kurz.,The movie was quite short.,—,—
121,Langsam,adjektiv/Adverb,Langsam,Slow,Adjectives,Der Zug fährt heute langsam.,The train is moving slowly today.,—,—
122,Laut,adjektiv/Adverb,Laut,Loud,Adjectives,Die Musik ist viel zu laut.,The music is way too loud.,—,—
123,Leicht,adjektiv/Adverb,Leicht,Light / Easy,Adjectives,Diese Aufgabe ist leicht.,This task is easy.,—,—
124,Schnell,adjektiv/Adverb,Schnell,Fast,Adjectives,Der Läufer ist sehr schnell.,The runner is very fast.,—,—
125,Spät,adjektiv/Adverb,Spät,Late,Adjectives,"Es ist schon spät, wir sollten gehen.","It’s already late, we should go.",—,—
126,Gut,adjektiv/Substantiv,Gut,Good,Adjectives,Das Essen schmeckt gut.,The food tastes good.,Güter,—
127,Das Armband,das (neutrum),Armband,The Bracelet,Adornment,Sie trägt ein goldenes Armband.,She wears a gold bracelet.,Armbänder,—
128,Das Badesalz,das (neutrum),Badesalz,The Bath Salts,Adornment,Ich nehme gerne ein Bad mit Badesalz.,I like taking a bath with bath salts.,—,—
129,Das Deodorant,das (neutrum),Deodorant,The Deodorant,Adornment,Er benutzt ein neues Deodorant.,He uses a new deodorant.,Deodorants,—
130,Das Diadem,das (neutrum),Diadem,The Diadem,Adornment,Die Prinzessin trug ein Diadem.,The princess wore a tiara.,Diademe,—
131,Das Elfenbein,das (neutrum),Elfenbein,The Ivory,Adornment,Der Handel mit Elfenbein ist verboten.,The trade in ivory is forbidden.,—,—
132,Das Kettchen,das (neutrum),Kettchen,The Chain,Adornment,Sie bekam ein silbernes Kettchen geschenkt.,She was given a silver chain.,Kettchen,—
133,Das Kollier,das (neutrum),Kollier,The Necklace,Adornment,Das Kollier ist sehr wertvoll.,The necklace is very valuable.,Rlis,—
134,Das Kreuz,das (neutrum),Kreuz,The Cross,Adornment,Er trägt ein Kreuz um den Hals.,He wears a cross around his neck.,Kreuze,—
135,Das Kupfer,das (neutrum),Kupfer,The Copper,Adornment,Das Dach ist mit Kupfer gedeckt.,The roof is covered with copper.,—,—
136,Das Make-Up,das (neutrum),Make-Up,The Make-Up,Adornment,Sie trägt heute viel Make-up.,She is wearing a lot of makeup today.,Make-ups,—
137,Das Papiertuch,das (neutrum),Papiertuch,The Paper Towel,Adornment,Hast du ein Papiertuch für mich?,Do you have a paper towel for me?,Papiertücher,—
138,Das Silber,das (neutrum),Silber,The Silver,Adornment,Das Besteck ist aus echtem Silber.,The cutlery is made of real silver.,—,—
139,Der Gesichtspuder,das (neutrum),Gesichtspuder,The Face Powder,Adornment,Sie benutzt jeden Morgen Gesichtspuder.,She uses face powder every morning.,—,—
140,Körperpuder,das (neutrum),Körperpuder,The Body Powder,Adornment,Nach dem Duschen verwendet sie Körperpuder.,"After showering, she uses body powder.",—,—
141,Parfüm,das (neutrum),Parfüm,Perfume,Adornment,Dieses Parfüm riecht sehr gut.,This perfume smells very good.,Parfüms,—
142,Das Kristall,der (maskulin),Kristall,The Crystal,Adornment,Die Gläser sind aus feinem Kristall.,The glasses are made of fine crystal.,Kristalle,—
143,Der Anhänger,der (maskulin),Anhänger,The Follower,Adornment,Der Anhänger passt gut zur Kette.,The pendant goes well with the necklace.,Anhänger,Anhängerin
144,Der Edelstein,der (maskulin),Edelstein,The Gemstone,Adornment,Der Ring ist mit einem Edelstein besetzt.,The ring is set with a gemstone.,Edelsteine,—
145,Der Klipp,der (maskulin),Klipp,The Cliff,Adornment,Sie befestigte das Papier mit einem Klipp.,She fastened the paper with a clip.,Klippen,—
146,Der Lidschatten,der (maskulin),Lidschatten,The Eyeshadow,Adornment,Der blaue Lidschatten steht ihr gut.,The blue eyeshadow suits her well.,Lidschatten,—
147,Der Lippenstift,der (maskulin),Lippenstift,The Lipstick,Adornment,Sie hat einen roten Lippenstift gekauft.,She bought a red lipstick.,Lippenstifte,—
148,Der Lockenwickler,der (maskulin),Lockenwickler,The Hair Curler,Adornment,Sie drehte ihre Haare auf Lockenwickler.,She rolled her hair on curlers.,Lockenwickler,—
149,Der Nagel,der (maskulin),Nagel,The Nail,Adornment,Er schlug einen Nagel in die Wand.,He hammered a nail into the wall.,Nägel,—
150,Der Nagellack,der (maskulin),Nagellack,The Nail Polish,Adornment,Der Nagellack ist schon abgesplittert.,The nail polish has already chipped.,Nagellacke,—
151,Der Ohrklipp,der (maskulin),Ohrklipp,The Ear Clip,Adornment,Sie trägt einen eleganten Ohrklipp.,She wears an elegant ear clip.,Ohrklipps,—
152,Der Ohrring,der (maskulin),Ohrring,The Earring,Adornment,Sie hat einen Ohrring verloren.,She lost an earring.,Ohrringe,—
153,Der Smaragd,der (maskulin),Smaragd,The Emerald,Adornment,Der Smaragd leuchtet tiefgrün.,The emerald shines deep green.,Smaragde,—
154,Der Stahl,der (maskulin),Stahl,The Steel,Adornment,Die Brücke ist aus Stahl gebaut.,The bridge is built of steel.,—,—
155,Schmuck,der (maskulin),Schmuck,Jewelry,Adornment,Sie trägt gerne teuren Schmuck.,She likes to wear expensive jewelry.,—,—
156,Die Anstecknadel,die (feminin),Anstecknadel,The Pin,Adornment,Er trägt eine goldene Anstecknadel.,He wears a gold pin.,Anstecknadeln,Anstecknadel
157,Die Armbanduhr,die (feminin),Armbanduhr,The Wristwatch,Adornment,Meine Armbanduhr ist stehen geblieben.,My wristwatch has stopped.,Armbanduhren,Armbanduhr
158,Die Brosche,die (feminin),Brosche,The Brooch,Adornment,Die Brosche gehörte ihrer Großmutter.,The brooch belonged to her grandmother.,Broschen,Brosche
159,Die Emaille,die (feminin),Emaille,The Enamel,Adornment,Die Schüssel ist mit Emaille überzogen.,The bowl is coated with enamel.,—,Emaille
160,Die Feuchtigkeitscreme,die (feminin),Feuchtigkeitscreme,The Moisturizing Cream,Adornment,Sie benutzt eine teure Feuchtigkeitscreme.,She uses an expensive moisturizer.,Feuchtigkeitscremes,Feuchtigkeitscreme
161,Die Gesichtscreme,die (feminin),Gesichtscreme,The Face Cream,Adornment,Diese Gesichtscreme ist sehr gut für trockene Haut.,This face cream is very good for dry skin.,Gesichtscremes,Gesichtscreme
162,Die Kosmetik,die (feminin),Kosmetik,Cosmetics,Adornment,Sie gibt viel Geld für Kosmetik aus.,She spends a lot of money on cosmetics.,—,Kosmetik
163,Die Krone,die (feminin),Krone,The Crown,Adornment,Der König trägt eine goldene Krone.,The king wears a golden crown.,Kronen,Krone
164,Die Lippenpomade,die (feminin),Lippenpomade,The Lip Pomade,Adornment,Im Winter brauche ich Lippenpomade.,In winter I need lip balm.,Lippenpomaden,Lippenpomade
165,Die Nagelschere,die (feminin),Nagelschere,The Nail Scissors,Adornment,Wo ist die Nagelschere?,Where are the nail scissors?,Nagelscheren,Nagelschere
166,Die Nagelzange,die (feminin),Nagelzange,The Nail Clippers,Adornment,Er schneidet seine Nägel mit der Nagelzange.,He cuts his nails with the nail clippers.,Nagelzangen,Nagelzange
167,Die Perle,die (feminin),Perle,The Pearl,Adornment,Die Perle schimmert wunderschön.,The pearl shimmers beautifully.,Perlen,Perle
168,Die Schönheit,die (feminin),Schönheit,The Beauty,Adornment,Ihre Schönheit ist atemberaubend.,Her beauty is breathtaking.,Schönheiten,—
169,Die Uhr,die (feminin),Uhr,The Clock,Adornment,Die Uhr tickt laut.,The clock ticks loudly.,Uhren,—
170,Verschönerung,die (feminin),Verschönerung,Embellishment,Adornment,Die Stadt plant die Verschönerung des Parks.,The city plans the beautification of the park.,—,—
171,Das Eichhörnchen,das (neutrum),Eichhörnchen,The Squirrel,Animals,Das Eichhörnchen sammelt Nüsse.,The squirrel collects nuts.,Eichhörnchen,—
172,Das Faultier,das (neutrum),Faultier,Sloth,Animals,Faultiere fressen Blätter,Sloths eat leaves,Faultiere,—
173,Das Flusspferd,das (neutrum),Flusspferd,Hippo,Animals,Das Flusspferd schwimmt.,The hippo is swimming.,Flusspferde,—
174,Das Haustier,das (neutrum),Haustier,Pet,Animals,Ein Hund ist ein gutes Haustier.,A dog is a good pet.,Haustiere,—
175,Das Horn,das (neutrum),Horn,The Horn,Animals,Das Nashorn hat ein großes Horn.,The rhino has a large horn.,Hörner,—
176,Das Huhn,das (neutrum),Huhn,The Chicken,Animals,Das Huhn legt ein Ei.,The chicken lays an egg.,Hühner,—
177,Das Hühnchen,das (neutrum),Hühnchen,Chicken,Animals,Das Hühnchen schmeckt gut.,The chicken tastes good.,Hühnchen,—
178,Das Kamel,das (neutrum),Kamel,Camel,Animals,Das Kamel lebt in der Wüste.,The camel lives in the desert.,Kamele,—
179,Das Känguruh,das (neutrum),Känguruh,The Kangaroo,Animals,Das Känguruh hüpft durch das Outback.,The kangaroo hops through the outback.,Känguruhs,—
180,Das Kaninchen,das (neutrum),Kaninchen,The Rabbit,Animals,Das Kaninchen frisst eine Karotte.,The rabbit eats a carrot.,Kaninchen,—
181,Das Krokodil,das (neutrum),Krokodil,Crocodile,Animals,Das Krokodil ist gefährlich.,The crocodile is dangerous.,Krokodile,—
182,Das Maultier,das (neutrum),Maultier,The Mule,Animals,Das Maultier trägt schwere Lasten.,The mule carries heavy loads.,Maultiere,—
183,Das Meerschweinchen,das (neutrum),Meerschweinchen,The Guinea Pig,Animals,Das Meerschweinchen quietscht laut.,The guinea pig squeaks loudly.,Meerschweinchen,—
184,Das Nashorn,das (neutrum),Nashorn,The Rhinoceros,Animals,Das Nashorn hat ein Horn auf der Nase.,The rhinoceros has a horn on its nose.,Nashörner,—
185,Das Nilpferd,das (neutrum),Nilpferd,Hippopotamus,Animals,Ein Nilpferd kann sehr gefährlich sein,A hippopotamus can be very dangerous,Nilpferde,—
186,Das Pferd,das (neutrum),Pferd,The Horse,Animals,Das Pferd galoppiert über die Wiese.,The horse gallops across the meadow.,Pferde,—
187,Das Reh,das (neutrum),Reh,The Deer,Animals,Das Reh steht am Waldrand.,The deer stands at the edge of the forest.,Rehe,—
188,Das Renntier,das (neutrum),Renntier,The Reindeer,Animals,Das Rentier zieht den Schlitten.,The reindeer pulls the sled.,Rentiere,—
189,Das Schaf,das (neutrum),Schaf,The Sheep,Animals,Das Schaf hat weiche Wolle.,The sheep has soft wool.,Schafe,—
190,Das Schwein,das (neutrum),Schwein,Pig,Animals,Das Schwein grunzt.,The pig grunts.,Schweine,—
191,Das Stachelschwein,das (neutrum),Stachelschwein,Porcupine,Animals,Das Stachelschwein lebt in Afrika,The porcupine lives in Africa,Stachelschweine,—
192,Das Wiesel,das (neutrum),Wiesel,The Weasel,Animals,Das Wiesel ist klein und flink.,The weasel is small and nimble.,Wiesel,—
193,Das Zebra,das (neutrum),Zebra,The Zebra,Animals,Das Zebra hat schwarze und weiße Streifen.,The zebra has black and white stripes.,Zebras,—
194,Der Adler,der (maskulin),Adler,The Eagle,Animals,Der Adler fliegt hoch am Himmel.,The eagle flies high in the sky.,Adler,Adlerin
195,Der Affe,der (maskulin),Affe,The Monkey,Animals,Der Affe klettert auf den Baum.,The monkey is climbing the tree.,Affen,Affin
